input_snr_db,condition,clean_name,noise_type,metric,model_count,input_mean,input_std_models,output_mean,output_std_models,output_median,output_min,output_max
15,la_normal,la,normal,spectral_distortion_db,10,11.63866156356107,0.0,6.069942048781206,0.1899041406704567,6.0525401504828835,5.853749864109149,6.480915385529469
15,la_truck,la,truck,snr,10,14.999999645069341,1.8724445165742407e-15,15.993311494382345,0.15707584974464128,16.003913099530642,15.76380424320656,16.214453149536016
15,la_truck,la,truck,correlation,10,0.9850445126681194,1.1702778228589004e-16,0.987311402879298,0.000387182942821601,0.9873909813362465,0.9867167044609607,0.9877171651451215
15,la_truck,la,truck,nrmse,10,0.1778279452857719,0.0,0.16069547410368937,0.002751327162392073,0.160535411207745,0.15736664296393116,0.16480286904332386
15,la_truck,la,truck,spectral_distortion_db,10,9.551924462762134,0.0,5.78510834015629,0.19187036628787044,5.79206586612497,5.49705832280947,6.191349425023536
15,jian_normal,jian,normal,snr,10,14.999997421249187,1.8724445165742407e-15,15.141042643305019,0.48653851146167415,14.983286709542126,14.639509472458363,16.05357057531945
15,jian_normal,jian,normal,correlation,10,0.9847528185236752,0.0,0.9871243528341708,0.0006264431803204067,0.987078785501317,0.9861854407352987,0.9880548216324404
15,jian_normal,jian,normal,nrmse,10,0.17782794727277423,2.925694557147251e-17,0.17785429534532318,0.01021635770047505,0.18062140949094224,0.1592065431474646,0.1891968779554485
15,jian_normal,jian,normal,spectral_distortion_db,10,9.251532804983457,0.0,7.394232030999952,0.5513146876999683,7.183147004902175,6.808184588046927,8.184924669222543
15,jian_truck,jian,truck,snr,10,14.99999752722616,0.0,14.498403251673079,0.3291213719019699,14.542526942380054,13.734260375795769,14.891781931005577
15,jian_truck,jian,truck,correlation,10,0.9850744644446253,1.1702778228589004e-16,0.9845940487184475,0.0004443404600732514,0.9845545101162461,0.9838506345436324,0.9852712965833607
15,jian_truck,jian,truck,nrmse,10,0.17782794510308558,0.0,0.19110250854075367,0.007974766931036787,0.18965391587852937,0.1815988332900101,0.21012101589873197
15,jian_truck,jian,truck,spectral_distortion_db,10,7.589732328118577,1.8724445165742407e-15,7.3580692375510655,0.614991978703599,7.1257075911268295,6.725394008912694,8.305860221110391
