input_snr_db,noise_type,method,denoise_model_seed,denoise_model_mean_val_snr,classifier_seed,accuracy,jian_accuracy,la_accuracy,precision,recall,f1_score,balanced_accuracy,true_negative,false_positive,false_negative,true_positive,mean_input_snr,mean_output_snr,denoise_model_path,classifier_model_path
5,normal,denoised_then_classified,7,9.369459245277593,100,0.9443713834823777,0.978411513859275,0.9112149532710281,0.9774436090225563,0.9112149532710281,0.9431680773881499,0.9448132335651516,3671,81,342,3510,4.9999999994785185,8.531034766788792,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_5dB_seed7.h5,D:\wangshuo\paper4_2\simple_mlp_classification_models\simple_mlp_classifier_seed100.h5
5,normal,denoised_then_classified,7,9.369459245277593,123,0.9384534455549711,0.9770788912579957,0.9008307372793354,0.9758155230596175,0.9008307372793354,0.9368250539956804,0.9389548142686656,3666,86,382,3470,4.9999999994785185,8.531034766788792,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_5dB_seed7.h5,D:\wangshuo\paper4_2\simple_mlp_classification_models\simple_mlp_classifier_seed123.h5
5,normal,denoised_then_classified,7,9.369459245277593,256,0.9376643871646502,0.9730810234541578,0.9031671858774662,0.9717877094972067,0.9031671858774662,0.936221743810549,0.938124104665812,3651,101,373,3479,4.9999999994785185,8.531034766788792,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_5dB_seed7.h5,D:\wangshuo\paper4_2\simple_mlp_classification_models\simple_mlp_classifier_seed256.h5
5,normal,denoised_then_classified,7,9.369459245277593,512,0.9434508153603367,0.9754797441364605,0.9122533748701973,0.9744869661674986,0.9122533748701973,0.942343791901314,0.9438665595033289,3660,92,338,3514,4.9999999994785185,8.531034766788792,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_5dB_seed7.h5,D:\wangshuo\paper4_2\simple_mlp_classification_models\simple_mlp_classifier_seed512.h5
5,normal,denoised_then_classified,7,9.369459245277593,2024,0.9437138348237769,0.9802771855010661,0.9080996884735203,0.9792833146696529,0.9080996884735203,0.9423491379310345,0.9441884369872933,3678,74,354,3498,4.9999999994785185,8.531034766788792,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_5dB_seed7.h5,D:\wangshuo\paper4_2\simple_mlp_classification_models\simple_mlp_classifier_seed2024.h5
5,normal,noisy_directly_classified,7,9.369459245277593,7,0.921357180431352,0.9080490405117271,0.9343198338525441,0.912525354969574,0.9343198338525441,0.9232939969214982,0.9211844371821356,3407,345,253,3599,4.9999999994785185,,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_5dB_seed7.h5,D:\wangshuo\paper4_2\simple_mlp_classification_models\simple_mlp_classifier_seed7.h5
5,normal,noisy_directly_classified,7,9.369459245277593,19,0.940163072067333,0.9243070362473348,0.955607476635514,0.9283732660781842,0.955607476635514,0.9417935269284892,0.9399572564414245,3468,284,171,3681,4.9999999994785185,,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_5dB_seed7.h5,D:\wangshuo\paper4_2\simple_mlp_classification_models\simple_mlp_classifier_seed19.h5
5,normal,noisy_directly_classified,7,9.369459245277593,42,0.9241188847974751,0.9229744136460555,0.9252336448598131,0.924993511549442,0.9252336448598131,0.9251135626216742,0.9241040292529343,3463,289,288,3564,4.9999999994785185,,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_5dB_seed7.h5,D:\wangshuo\paper4_2\simple_mlp_classification_models\simple_mlp_classifier_seed42.h5
5,normal,noisy_directly_classified,7,9.369459245277593,66,0.9396370331404524,0.9253731343283582,0.9535306334371755,0.9291677207184417,0.9535306334371755,0.9411915438821269,0.9394518838827668,3472,280,179,3673,4.9999999994785185,,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_5dB_seed7.h5,D:\wangshuo\paper4_2\simple_mlp_classification_models\simple_mlp_classifier_seed66.h5
5,normal,noisy_directly_classified,7,9.369459245277593,88,0.9496317727511836,0.9402985074626866,0.9587227414330218,0.9428133775848864,0.9587227414330218,0.9507015059853263,0.9495106244478542,3528,224,159,3693,4.9999999994785185,,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_5dB_seed7.h5,D:\wangshuo\paper4_2\simple_mlp_classification_models\simple_mlp_classifier_seed88.h5
5,normal,noisy_directly_classified,7,9.369459245277593,100,0.9380589163598106,0.9224413646055437,0.9532710280373832,0.9265707797123391,0.9532710280373832,0.9397312859884837,0.9378561963214634,3461,291,180,3672,4.9999999994785185,,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_5dB_seed7.h5,D:\wangshuo\paper4_2\simple_mlp_classification_models\simple_mlp_classifier_seed100.h5
5,normal,noisy_directly_classified,7,9.369459245277593,123,0.9256970015781167,0.9253731343283582,0.92601246105919,0.927216012477255,0.92601246105919,0.92661384595402,0.9256927976937741,3472,280,285,3567,4.9999999994785185,,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_5dB_seed7.h5,D:\wangshuo\paper4_2\simple_mlp_classification_models\simple_mlp_classifier_seed123.h5
